id,english,chinese
225,"acolyte","追随者"
226,"acorn","橡（树果）实"
227,"acoustic","（吉他等乐器）原声的"
228,"acquaint","使认识"
229,"acquaintance","认识的人"
230,"acquainted","了解的"
231,"acquiesce","同意"
232,"acquiescence","同意"
233,"acquiescent","默认的"
234,"acquire","获得"
235,"acquired immune deficiency syndrome","同AIDS"
236,"acquirer","收购者"
237,"acquisition","（对公司的）收购"
238,"acquisitive","渴望得到的"
239,"acquit","宣判…无罪"
240,"acquittal","宣告无罪"
241,"acre","英亩（等于4"
242,"acreage","（一大片）耕地"
243,"acrid","（气味或味道）辛辣的"
244,"acrimonious","（言辞、争吵等）尖刻的"
245,"acrimony","尖刻的言辞"
246,"acrobat","（尤指马戏团的）杂技演员"
247,"acrobatic","杂技的"
248,"acrobatics","杂技"
249,"acronym","（尤用作名称）首字母缩拼词"
250,"across","从一边到另一边"
251,"acrylic","丙烯酸"
252,"act","做事"
253,"acting","表演"
254,"action","行动"
255,"actionable","可以起诉的"
256,"action replay","（电视画面等的）即时重放"
257,"activate","使运作"
258,"active","忙碌的"
259,"active duty","同active service"
260,"active service","现役"
261,"activism","激进主义"
262,"activist","积极分子"
263,"activity","热闹状况"
264,"act of god","天灾"
265,"actor","演员（单数形式的actor通常指男演员"
266,"act out","将…表演出来"
267,"actress","女演员"
268,"actual","真实的"
269,"actual bodily harm","轻微人身伤害（罪）"
270,"actuality","真实地"
271,"actually","的确"
272,"actuarial","保险精算师的"
273,"actuary","保险精算师"
274,"actuate","激励"
275,"act up","运作不正常"
276,"acuity","（视力、听力、思维的）敏锐"
277,"acumen","敏锐"
278,"acupressure","指压按摩"
279,"acupuncture","针刺"
280,"acupuncturist","针灸师"
281,"acute","（情况）严重的"
282,"acutely","深深地（感觉到）"
283,"ad","广告"
284,"adage","谚语"
285,"adagio","缓慢地（用作音乐中的指示）"
286,"adamant","坚决的"
287,"adam's apple","喉结"
288,"adapt","适应"
289,"adaptable","有适应能力的"
290,"adaptation","（电影或电视的）改写本"
291,"adapted","适用于…的"
292,"adapter",""
293,"adaption","同 adaptation"
294,"adaptive","适应的"
295,"adaptor","（电器设备的）转接器"
296,"add","添加"
297,"added","附加的"
298,"added value","（商品的）附加值"
299,"addendum","补遗"
300,"adder","（见于欧洲、亚洲的）蝰蛇"
301,"addict","吸毒成瘾者"
302,"addicted","（吸毒）成瘾的"
303,"addiction","毒瘾"
304,"addictive","使人成瘾的"
305,"add in","加入"
306,"addition","另外"
307,"additional","额外的"
308,"additionally","此外"
309,"additive","添加物"
310,"addle","使糊涂"
311,"addled","困惑的"
312,"add on","附加"
313,"add-on","（尤指计算机的）附加装置"
314,"address","住址"
315,"address book","通讯录"
316,"addressee","收信方"
317,"adduce","引证"
318,"add up",""
319,"add up to","总计为"
320,"adenoids","腺样增殖体"
321,"adept","熟练的"
322,"adequacy","适当"
323,"adequate","足够的"
324,"adhd",""
325,"adhere","遵守"
326,"adherence","坚持"
327,"adherent","追随者"
328,"adhesion","黏附（力）"
329,"adhesive","黏合剂"
330,"ad hoc","（形势所需而）临时安排的"
331,"adieu","同goodbye"
332,"ad infinitum","无限地"
333,"adj.",""
334,"adjacent","邻近的"
335,"adjectival","形容词的"
336,"adjective","形容词"
337,"adjective group","形容词词组（如very nice"
338,"adjoin","紧挨"
339,"adjourn","休（会）"
340,"adjournment","休会"
341,"adjudge","判决"
342,"adjudicate","判决"
343,"adjunct","附属品"
344,"adjust","改变（行为或观点）以适应"
345,"adjustable","（位置或大小）可调整的"
346,"adjuster","调节器"
347,"adjustment","调整"
348,"adjustor",""
349,"adjutant","副官"
350,"ad-lib","即兴演出"
351,"ad lib",""
352,"adman","广告人"
353,"admin","管理"
354,"administer","治理"
355,"administration","管理"
356,"administrative","经营的"
357,"administrator","经营者"
358,"admirable","令人钦佩的"
359,"admiral","海军上将"
360,"admiralty","（英国）海军部"
361,"admiration","钦佩"
362,"admire","钦佩"
363,"admirer","钦佩者"
364,"admiring","赞赏的"
365,"admissible","（证据）可提交的"
366,"admission","准许进入"
367,"admit","（常指不情愿地）承认"
368,"admittance","准许进入"
369,"admittedly","诚然"
370,"admixture","同mixture"
371,"admonish","责备"
372,"admonition","告诫"
373,"ad nauseam","没完没了地"
374,"ado","毫不迟延"
375,"adobe","（尤指热带国家建筑用的）砖坯"
376,"adolescence","青春期"
377,"adolescent","青少年的"
378,"adopt","采取"
379,"adoptive","收养的"
380,"adorable","可爱的"
381,"adoration","热爱"
382,"adore","热爱"
383,"adoring","热爱的"
384,"adorn","装饰"
385,"adornment","装饰物"
386,"adrenalin","肾上腺素（情绪激动时肾上腺分泌的一种化学物质"
387,"adrenaline",""
388,"adrift","漂浮着的"
389,"adroit","机敏的"
390,"adsl","非对称数字用户线路（通过普通电话线提供宽带数据业务的技术）"
391,"adulation","奉承"
392,"adulatory","奉承的"
393,"adult","（法律意义上的）成年人"
394,"adult education","成人教育"
395,"adulterate","在（饮食中）掺入杂质"
396,"adulterer","通奸者"
397,"adulteress","淫妇"
398,"adulterous","通奸的"
399,"adultery","通奸"
400,"adulthood","成年"
401,"adv.",""
402,"advance","（常指为攻击而）前进"
403,"advanced","（制度、方法或设计）先进的"
404,"advancement","提升"
405,"advantage","有利条件"
406,"advantaged","（在社会地位或经济条件上）处于优势的"
407,"advantageous","有利的"
408,"advent","（重大事件、发明或情况的）出现"
409,"adventure","冒险"
410,"adventure playground","（供儿童玩耍的）奇遇游乐场"
411,"adventurer","冒险者"
412,"adventuresome","同adventurous"
413,"adventurism","（尤指在商业、政治方面为获得不当利益而甘冒风险的）冒险主义"
414,"adventurist","冒险主义的"
415,"adventurous","勇于冒险的"
416,"adverb","副词"
417,"adverb group","副词词组"
418,"adverbial","副词的"
419,"adversarial","对立的"
420,"adversary","敌手"
421,"adverse","不利的"
422,"adversity","厄运"
423,"advert","广告"
424,"advertise","为…做广告"
425,"advertisement","广告"
426,"advertiser","登广告者"
427,"advertising","广告活动"
428,"advertising agency","广告代理公司"
429,"advertising campaign","有计划的系列广告"
430,"advertorial","社论式广告（采用报刊文体形式或电视纪录片模式呈现出的广告"
431,"advice","劝告"
432,"advice column","（报刊上的）答读者问专栏"
433,"advice columnist","答读者问专栏作家"
434,"advice line","咨询热线"
435,"advisable","可取的"
436,"advise","劝告"
437,"advisedly","经慎重考虑后"
438,"advisement","（常指请专家）对…作周密考虑"
439,"adviser","顾问"
440,"advisor",""
441,"advisory","顾问的"
442,"advocacy","拥护"
443,"advocate","拥护"
444,"aegis","在…的支持下"
445,"aeon","极漫长的时期"
446,"aerate","使透气"
447,"aerial","航空的"
448,"aerie",""
449,"aero-","（用于词首"
450,"aerobatics","特技飞行（术）"
451,"aerobic","有氧健身的"
452,"aerobics","有氧运动"
453,"aerodrome","小型飞机场"
454,"aerodynamic","（汽车等）流线型的"
455,"aerodynamics","空气动力学"
456,"aeronautical","航空（学）的"
457,"aeronautics","航空学"
458,"aeroplane","飞机"
459,"aerosol","（装涂料、除臭剂等的）小型喷雾器"
460,"aerospace","航空航天（工业）"
461,"aesthete","审美家"
462,"aesthetic","美的"
463,"aesthetics","(审）美学"
464,"aetiology",""
465,"afar","在远处"
466,"affable","和蔼可亲的"
467,"affair","事情"
468,"affect","影响"
469,"affectation","做作"
470,"affected","做作的"
471,"affecting","令人感动的"
472,"affection","喜爱"
473,"affectionate","充满深情的"
474,"affidavit","宣誓书"
475,"affiliate","成员组织"
476,"affiliated","隶属的"
477,"affiliation","（组织之间的）密切联系"
478,"affinity","亲近"
479,"affinity card","认同卡（持卡人刷卡消费后银行就会向某慈善机构或组织拨付少量钱款的一种信用卡）"
480,"affirm","断言"
481,"affirmative","（话语、手势等）肯定的"
482,"affirmative action","（鼓励雇用少数民族成员、妇女等的）反歧视行动"
483,"affix","粘上"
484,"afflict","折磨"
485,"affliction","病痛"
486,"affluence","富裕"
487,"affluent","富裕的"
488,"afford","买得起"
489,"affordable","价格合理的"
490,"afforestation","植树造林"
491,"affray","（尤指在公共场所的）打架滋事"
492,"affront","侮辱"
493,"afghan","阿富汗的"
494,"aficionado","狂热爱好者"
495,"afield","在远处"
496,"afire","着火的"
497,"aflame","着火的"
498,"afloat","漂浮着"
499,"afoot","进行中的"
500,"aforementioned","前面提到的"
501,"aforesaid","同 aforementioned"
502,"afoul","与…纠缠"
503,"afraid","害怕的"
504,"afresh","重新"
505,"african","非洲的"
506,"african-american","非裔美国人"
507,"african-caribbean","非裔加勒比人的"
508,"afrikaans","南非荷兰语（南非的官方语言之一）"
509,"afrikaner","荷兰裔南非白人的"
510,"afro","（发型）非洲式的"
511,"afro-","（用以构成形容词和名词）表示“非洲的”"
512,"afro-caribbean","非裔加勒比人的"
513,"aft","向艉部（或机尾）"
514,"after","在（时间、事件）以后"
515,"after-","（用于名词之后构成形容词）在…之后"
516,"after care",""
517,"after-care",""
518,"after-effect","后效"
519,"afterglow","余晖"
520,"after-hours","业余时间的"
521,"afterlife","来世"
522,"after-life",""
523,"aftermarket","售后市场"
524,"aftermath","后果"
525,"afternoon","下午"
526,"afternoon tea","午后茶点（包括茶及三明治、蛋糕等）"
527,"after-sales service","售后服务"
528,"after-school","课外的"
529,"aftershave","（剃须后擦的）润肤水"
530,"after-shave",""
531,"aftershock","余震"
532,"aftertaste","回味"
533,"after-taste",""
534,"afterthought","事后的想法"
535,"afterwards","（某个事件或已提及的时间）之后"
536,"afterword","跋"
537,"again","又一次"
538,"against","紧靠"
539,"agape","（由于惊愕等）张大嘴的"
540,"agate","玛瑙"
541,"age","年龄"
542,"aged","…岁的"
543,"age group","年龄层"
544,"ageing","变老的"
545,"ageism","对老年人的歧视"
546,"ageist","歧视老年人的"
547,"ageless","永不衰老的"
548,"age limit","年龄限制"
549,"agency","经销"
550,"agenda","（政治）议题"
551,"agent","代理人"
552,"agent provocateur","（受雇于政府或警方"
553,"age of consent","同意年龄"
554,"age-old","（故事、传统或问题）古老的"
555,"agglomeration","（杂乱的）聚集"
556,"aggrandize","吹捧"
557,"aggrandizement","（权势、财富、地位的）扩大"
558,"aggravate","加重"
559,"aggravated","（罪行）加重的"
560,"aggregate","总计的"
561,"aggression","好斗性"
562,"aggressive","好斗的"
563,"aggressor","挑衅者"
564,"aggrieved","愤愤不平的"
565,"aggro","困难"
566,"aghast","吃惊的"
567,"agile","敏捷的"
568,"aging",""
569,"agitate","煽动"
570,"agitated","焦虑的"
571,"agitation","焦虑"
572,"agitator","(政治上的)鼓动者"
573,"agit-prop",""
574,"agitprop","（采取戏剧、海报等艺术形式以进一步达到政治目的的）宣传鼓动"
575,"aglow","发柔光的"
576,"agm","（公司、团体的）年会"
577,"agnostic","不可知论者（Compare 比较 atheist.)"
578,"agnosticism","不可知论"
579,"ago","以前"
580,"agog","渴望的"
581,"agonize","感到极度焦虑"
582,"agonized","极度痛苦的"
583,"agonizing","令人痛苦的"
584,"agony","（肉体或精神的）极度痛苦"
585,"agony aunt","（报刊上的）答读者问专栏作家"
586,"agony column","（报刊上的）读者问答专栏"
587,"agoraphobia","广场（或旷野）恐怖（症）"
588,"agoraphobic","恐旷症的"
589,"agrarian","土地的"
590,"agree","同意"
591,"agreeable","令人愉快的"
592,"agreed","达成协议的"
593,"agreement","协议"
594,"agribusiness","农业综合经营"
595,"agricultural","农业的"
596,"agriculturalist","农学家"
597,"agriculture","农业"
598,"agro-","（用于构成形容词和名词）表示“农业”"
599,"agronomist","农学家"
600,"aground","（船）搁浅"
601,"ah","（书面语中用于表示在交谈时作出回应或引起他人注意或表示惊讶、失望）啊"
602,"aha","啊哈（书面语中用于表示满意、惊讶等）"
603,"ahead","在前面"
604,"ahem","呃哼（用于书面语中表示讽刺意味或用于引起注意）"
605,"ahold","联系到"
606,"ahoy","喂"
607,"ai",""
608,"aid","援助"
609,"aide","（尤指在政府或军队中身居要职者的）助手"
610,"aide-de-camp","副官"
611,"aide-memoire","帮助记忆的东西"
612,"aide-mémoire",""
613,"aids","艾滋病"
614,"ail","使苦恼"
615,"aileron","（飞机的）副翼"
616,"ailing","处境困难的"
617,"ailment","疾病"
618,"aim","致力于"
619,"aimless","无目的的"
620,"ain't","（有时用于代替 am not"
621,"air","空气"
622,"air ambulance","空中救护车"
623,"airbag","（汽车的）安全气囊"
624,"airbase",""
625,"air base","空军基地"
626,"airbed","充气床垫"
627,"airborne","（飞机）升空的"
628,"air brake","（大型车辆的）气闸"
629,"airbrush","(绘画等用的）喷枪"
630,"airbus","空中客车"
631,"air-con","同 air conditioning"
632,"air conditioned","（房间或车辆）有空调设备的"
633,"air conditioner","空调机"
634,"air conditioning","空气调节系统"
635,"air-cooled","（引擎等）用空气冷却的"
636,"aircraft","飞机"
637,"aircraft carrier","航空母舰"
638,"aircrew","空勤组"
639,"air crew",""
640,"airdrome","（小型）飞机场"
641,"air-drop",""
642,"airfare","飞机票价"
643,"airfield","（小型）机场"
644,"airflow","空气流动"
645,"air force","空军"
646,"air freshener","空气清新剂"
647,"airgun","气枪"
648,"airhead","没头脑的人"
649,"air hostess","客机女服务员"
650,"airing cupboard","（用于烘干床单、浴巾的）烘柜"
651,"airless","无新鲜空气的"
652,"airlift","（尤指战争期间或陆上交通中断时的）空运"
653,"airline","航空公司"
654,"airliner","大型客机"
655,"airlock","气闸室"
656,"air lock",""
657,"airmail","航空邮政"
658,"airman","飞行员"
659,"air miles","飞行里程积分"
660,"air pistol","气手枪"
661,"airplane","飞机"
662,"airplay","（无线电台上）乐曲的播放次数"
663,"airport","机场"
664,"airport novel","机场小说（指惊险刺激或浪漫的长篇流行小说）"
665,"airport tax","机场税"
666,"airpower",""
667,"air power","（一国的）空军实力"
668,"air rage","空中愤怒（飞机上的乘客出现的攻击或暴力行为）"
669,"air raid","空袭（该词通常为受袭方所使用）"
670,"air rifle","气枪"
671,"airship","飞艇"
672,"air show",""
673,"airshow","飞行（或航空）特技表演"
674,"airspace","空域"
675,"air space",""
676,"airspeed","空速"
677,"air speed",""
678,"air strike","空中袭击"
679,"airstrike",""
680,"airstrip","简便机场"
681,"air terminal","航站楼"
682,"airtight","不透气的"
683,"air-tight",""
684,"air time","广播时间"
685,"airtime",""
686,"air-to-air","（战役）空对空的"
687,"air traffic control","空中交通管制"
688,"air traffic controller","空中交通管制员"
689,"air waves",""
690,"airwaves","（无线电或电视）广播"
691,"airway","气道"
692,"airwoman","女飞行员"
693,"airworthy","适航的"
694,"airy","通风的"
695,"airy-fairy","虚幻的"
696,"aisle","（教堂等公共建筑物里座席间或超市货架间的）纵直通道"
697,"ajar","（门等）半开着的"
698,"aka","（尤指某人的昵称或艺名）又名"
699,"akimbo","双手叉腰"
700,"akin","相似的"
701,"alabaster","雪花石膏（用于雕塑及装饰）"
702,"alacrity","欣然"
703,"alarm","惊恐"
704,"alarm clock","闹钟"
705,"alarmed","惊恐的"
706,"alarming","使人惊恐的"
707,"alarmist","轻事重报的"
708,"alas","（表示悲伤、怜悯等）哎呀"
709,"albanian","阿尔巴尼亚的"
710,"albatross","信天翁"
711,"albeit","尽管"
712,"albino","患白化病的人（或动物）"
713,"album","唱片"
714,"albumen","同albumin"
715,"albumin","清蛋白"
716,"alchemical","炼金术的"
717,"alchemist","炼金术士"
718,"alchemy","炼金术"
719,"alcohol","含酒精的饮品"
720,"alcoholic","酗酒者"
721,"alcoholism","酗酒"
722,"alcove","凹室"
723,"al dente","（面点或蔬菜）有嚼头的"
724,"alder","桤木"
725,"alderman","（美国和加拿大部分地区的）市政委员会委员"
726,"ale","麦芽酒（一种酒精含量较高的啤酒）"
727,"alec",""
728,"aleck",""
729,"alehouse","酒馆"
730,"alert","警觉的"
731,"a level","（英国中学生17或18岁时参加的）高级程度考试"
732,"alfalfa","苜蓿"
733,"al fresco",""
734,"alfresco","露天的"
735,"algae","水藻"
736,"algal","水藻的"
737,"algebra","代数"
738,"algebraic","代数的"
739,"algerian","阿尔及利亚的"
740,"algorithm","（尤指电脑程序中的）算法"
741,"alia",""
742,"alias","（尤指罪犯使用的）化名"
743,"alibi","不在犯罪现场的证明"
744,"alien","外国的"
745,"alienate","使疏远"
746,"alight","燃烧着的"
747,"align","与…联合"
748,"alignment","结盟"
749,"alike","相同的"
750,"alimentary canal","消化道"
751,"alimony","（分居或离婚后根据法院指令定期付给对方的）赡养费"
752,"a-list","极有名的"
753,"alive","活着的"
754,"alkali","碱"
755,"alkaline","碱的"
756,"all-","（用于名词或形容词前构成形容词）表示“全…”"
757,"all","整个的"
758,"allah","安拉"
759,"all-american","典型美国式的"
760,"all-around",""
761,"allay","消除（疑虑、恐惧等）"
762,"all clear","险情解除的信号"
763,"all comers",""
764,"all-comers","所有来者"
765,"allegation","指控"
766,"allege","（未提出证据而）断言"
767,"alleged","声称的"
768,"allegiance","（对组织、人物、信仰的）忠诚"
769,"allegorical","寓言的"
770,"allegory","寓言"
771,"allegro","快板"
772,"alleluia","同hallelujah"
773,"all-embracing","无所不包的"
774,"allergen","过敏源"
775,"allergic","（对…）过敏的"
776,"allergist","过敏症专科医生"
777,"allergy","过敏反应"
778,"alleviate","减轻"
779,"alley","小巷"
780,"alley cat","（街上的）野猫"
781,"alley-way",""
782,"alleyway","同alley"
783,"alliance","（国家或政党的）联盟"
784,"allied","（战争期间）盟国的"
785,"alligator","短吻鳄"
786,"all-inclusive","（尤指度假的费用或价格）无所不包的"
787,"alliteration","头韵"
788,"alliterative","头韵的"
789,"allocate","分配"
790,"allocation","分配物"
791,"allot","分配"
792,"allotment","（英国城镇里租给个人种菜用的）小块园地"
793,"all out",""
794,"all-out","（行动）全力的"
795,"allow","允许"
796,"allowable","可允许的"
797,"allowance","（定期发给的）津贴"
798,"allow for","考虑到"
799,"alloy","合金"
800,"all-powerful","有无上权威的"
801,"all-purpose","通用的"
802,"all right","令人满意的"
803,"all-round","全能的"
804,"all-rounder","多面手"
805,"all-seater","（体育场）所有观众均有席位的"
806,"all-singing all-dancing","时髦先进且功能繁多的"
807,"allspice","多香果粉（一种烹调用香料）"
808,"all-star","由明星演员组成的"
809,"all-time","迄今最…的"
810,"allude","间接提到"
811,"allure","诱惑力"
812,"alluring","吸引人的"
813,"allusion","间接提到"
814,"allusive","间接提到的"
815,"alluvial","（土壤）冲积的"
816,"all-weather","人工赛场上的"
817,"ally","（尤指战时的）同盟国"
818,"alma mater","母校"
819,"almanac","历书"
820,"almanack",""
821,"almighty","全能者（指上帝）"
822,"almond","杏仁"
823,"almoner","（英国的）医院社工"
824,"almost","几乎"
825,"alms","救济金"
826,"almshouse","（英国的）救济院"
827,"alms-house",""
828,"aloe vera","芦荟叶汁（常用于化妆品）"
829,"aloft","在空中"
830,"alone","独自的"
831,"along","沿着"
832,"alongside","在…旁边"
833,"aloof","冷漠的"
834,"aloud","出声地"
835,"alpaca","羊驼毛"
836,"alphabet","（一种语言的）全部字母"
837,"alphabetical","按字母顺序的"
838,"alpine","（尤指位于瑞士的）高山的"
839,"alpines","（尤指位于瑞士的）高山的"
840,"already","已经（用already时"
841,"alright",""
842,"alsatian","德国牧羊犬"
843,"also","而且"
844,"also-ran","（比赛等的）失败者"
845,"altar","祭坛"
846,"altar boy","（天主教庭协助牧师做弥撒的）辅祭"
847,"altarpiece","祭坛画"
848,"alter","改变"
849,"alteration","改变"
850,"altercation","争论"
851,"alter ego","另一个自我"
852,"alternate","（使）交替"
853,"alternating current","交流电（缩略形式为AC）"
854,"alternative","可供选择的"
855,"alternatively","要不然"
856,"alternator","（尤用于汽车的）交流发电机"
857,"although","虽然（表示对比）"
858,"altimeter","测高仪"
859,"altitude","海拔"
860,"alto","女低音歌手"
861,"altogether","完全"
862,"altruism","利他主义"
863,"altruistic","利他的"
864,"aluminium","铝"
865,"aluminum",""
866,"alumnus","校友"
867,"always","总是"
868,"alzheimer's",""
869,"alzheimer's disease","阿尔茨海默病"
870,"am","（be的第一人称单数现在式"
871,"am.",""
872,"a.m.",""
873,"amalgam","混合物"
874,"amalgamate","（使）合并"
875,"amass","积聚"
876,"amateur","业余爱好者"
877,"amateurish","业余水准的"
878,"amateurism","业余主义（认为享受体育和其他活动的乐趣比从中谋利更为重要）"
879,"amaze","使惊奇"
880,"amazement","惊奇"
881,"amazing","令人称奇的"
882,"amazon","（古希腊故事中的）亚马孙族女战士"
883,"amazonian","亚马孙河的"
884,"ambassador","大使"
885,"ambassadorial","大使的"
886,"amber","琥珀"
887,"ambergris","龙涎香（产自抹香鲸体内的一种可作香料的蜡状物质）"
888,"ambiance",""
889,"ambidextrous","左右手都灵巧的"
890,"ambience","周围环境"
891,"ambient","（气温）周围的"
892,"ambiguity","含糊不清"
893,"ambiguous","含糊不清的"
894,"ambit","范围"
895,"ambition","梦想"
896,"ambitious","有雄心的"
897,"ambivalent","摇摆不定的"
898,"amble","缓行"
